facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
Firstcare Medical Centre,784,,Ambulatory health care services,Province of British Columbia,,2590,commercial drive,V5N 4C2,vancouver,bc,2590 commercial drive vancouver bc v5n 4c2,Vancouver,5915022,59,49.261542,-123.069778
Fischer Place,785,,Nursing and residential care facilities,Province of British Columbia,,555,cedar avenue,V0K 2E1,100 mile house,bc,555 cedar avenue 100 mile house bc v0k 2e1,One Hundred Mile House,5941005,59,51.63807,-121.291632
Five Corners Residence,786,,Nursing and residential care facilities,Province of British Columbia,,21451,old yale rd,V3A 4M6,langley,bc,21451 old yale rd langley bc v3a 4m6,Langley,5915001,59,49.0915519,-122.6283675
Flamingo Road,787,,Nursing and residential care facilities,Province of British Columbia,,8244,flamingo rd,V2N 2J1,prince george,bc,8244 flamingo rd prince george bc v2n 2j1,Prince George,5953023,59,54.005809,-122.82062
Fleet Street Group Home,788,,Nursing and residential care facilities,Province of British Columbia,,2994,fleet st,V3C 3R8,coquitlam,bc,2994 fleet st coquitlam bc v3c 3r8,Coquitlam,5915034,59,49.2634222,-122.8114257
Fleetwood House,789,,Nursing and residential care facilities,Province of British Columbia,,9407,161 st,V4N 2P3,surrey,bc,9407 161st st surrey bc v4n 2p3,Surrey,5915004,59,49.173384,-122.776442
Fleetwood Place,790,,Nursing and residential care facilities,Province of British Columbia,,16011,83 ave,V4N 0N2,surrey,bc,16011 83rd ave surrey bc v4n 0n2,Surrey,5915004,59,49.153895,-122.778049
Fletcher 1,791,,Nursing and residential care facilities,Province of British Columbia,,12062,fletcher st,V2X 6K9,maple ridge,bc,12062 fletcher st maple ridge bc v2x 6k9,Maple Ridge,5915075,59,49.2216885,-122.5919793
Foothills Medical Clinic,792,,Ambulatory health care services,Province of British Columbia,,203-3387,david avenue,V3E 0K4,coquitlam,bc,203-3387 david avenue coquitlam bc v3e 0k4,Coquitlam,5915034,59,49.293373,-122.755466
Foremed Clinic,793,,Ambulatory health care services,Province of British Columbia,,420,columbia street,V3L 1B1,new westminster,bc,420 columbia street new westminster bc v3l 1b1,New Westminster,5915029,59,49.204289,-122.905839
Forensic Psychiatric Hospital (Forensic Psychiatric Services Commission),794,psychiatric,Hospitals,Public Health Agency of Canada,,70,colony farm rd,V3C 5X9,port coquitlam,bc,70 colony farm rd. port coquitlam bc v3c 5x9,Vancouver,5915022,59,49.263318,-123.111417
Forest View Place,795,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0E 1N0,clearwater,bc,,Clearwater,,59,,
Forglen 5450,796,,Nursing and residential care facilities,Province of British Columbia,,5450,forglen dr,V5H 3K7,burnaby,bc,5450 forglen dr burnaby bc v5h 3k7,Burnaby,5915025,59,49.2349345,-122.9926051
Forrest Place,797,,Nursing and residential care facilities,Province of British Columbia,,491,forrest dr,V1R 2H1,warfield,bc,491 forrest dr warfield bc v1r 2h1,Warfield,5905018,59,49.0940859,-117.7475746
Forrester House,798,,Nursing and residential care facilities,Province of British Columbia,,1998,forrester st,V8R 3H1,victoria,bc,1998 forrester st victoria bc v8r 3h1,Saanich,5917021,59,48.443712,-123.32226
HÔPITAL CHRIST-ROI,7984,hôpitaux,Hospitals,Municipality of Québec,,900,boulevard wilfrid-hamel,J9T 2S2,québec city,qc,,Québec,2423027,24,46.81135599,-71.25837456
Fort Nelson General Hospital,799,general,Hospitals,Public Health Agency of Canada,,5315,liard st,V0C 1R0,fort nelson,bc,5315 liard st. fort nelson bc v0c 1r0,Northern Rockies,5959007,59,58.8089587,-122.70494
HÔPITAL DE JOUR GÉRIATRIQUE,7995,centre hospitalier,Hospitals,Municipality of Gatineau,,455,montée paiement,J9T 2S2,gatineau,qc,,Gatineau,2481017,24,45.493517,-75.676739
Agecare — Walden Heights Seniors Community,8,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X 0V1,calgary,ab,,Calgary,,48,,
Fort Nelson Multi Level Unit,800,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0C 1R0,fort nelson,bc,,,,59,,
Fort St. John Hospital,801,general,Hospitals,Public Health Agency of Canada,,9636,100 ave,V1J 1Y3,fort st john,bc,9636 - 100th ave. fort st. john bc v1j 1y3,Fort St. John,5955034,59,56.2561383,-120.816339
HÔPITAL DU CHRIST-ROI,8023,general,Hospitals,Public Health Agency of Canada,,675,rue saint-jean-baptiste,J3T 1S4,nicolet,qc,"675, rue saint-jean-baptiste nicolet qc j3t 1s4",Nicolet,2450072,24,46.2306001,-72.6267734
Fourth and Alma,803,,Nursing and residential care facilities,Province of British Columbia,,3625,w 4 ave,V6R 1P2,vancouver,bc,3625 w 4th ave vancouver bc v6r 1p2,Vancouver,5915022,59,49.268865,-123.1845142
HÔPITAL GENERAL DE SOREL,8035,soins aux malades chroniques,Nursing and residential care facilities,Public Health Agency of Canada,,151,rue george,J3P 1C8,sorel-tracy,qc,"151, rue george sorel-tracy qc j3p 1c8",Sorel-Tracy,2453052,24,46.0461353,-73.1088722
Foyer Maillard,804,,Nursing and residential care facilities,Province of British Columbia,,1010,alderson ave,V3K 1W1,coquitlam,bc,1010 alderson ave coquitlam bc v3k 1w1,Coquitlam,5915034,59,49.2392629,-122.8662457
Francis House,805,,Nursing and residential care facilities,Province of British Columbia,,8640,cruickshank drive,V6Y 2X6,richmond,bc,8640 cruickshank drive richmond bc v6y 2x6,Richmond,5915015,59,49.1497112,-123.1472723
HÔPITAL LAVAL,8050,general,Hospitals,Public Health Agency of Canada,,2725,ch ste-foy,G1V 4G5,sainte-foy,qc,"2725, ch. ste-foy sainte-foy qc g1v 4g5",Québec,2423027,24,46.7791191,-71.2976016
HÔPITAL LOUIS-H. LAFONTAINE,8052,psychiatrique,Hospitals,Public Health Agency of Canada,,7401,rue hochelaga,H1N 3M5,montréal,qc,"7401, rue hochelaga montréal qc h1n 3m5",Montréal,2466023,24,45.5884937,-73.5291412
Fraser Canyon Clinic,806,,Ambulatory health care services,Province of British Columbia,,222,wallace street,V0X 1L0,hope,bc,222 wallace street hope bc v0x 1l0,Hope,5909009,59,49.378762,-121.443439
Fraser Canyon Hospital,807,general,Hospitals,Public Health Agency of Canada,,1275,7 ave,V0X 1L4,hope,bc,1275 - 7th ave. hope bc v0x 1l4,Hope,5909009,59,49.3768382,-121.424275
HÔPITAL RIVIÈRE-DES-PRAIRIES,8072,psychiatrique,Hospitals,Public Health Agency of Canada,,7070,boul perras,H1E 1A4,montréal,qc,"7070, boul. perras montréal qc h1e 1a4",Montréal,2466023,24,45.6271766,-73.6147382
Fraser Highway Medical Clinic,808,,Ambulatory health care services,Province of British Columbia,,27109,fraser highway,V4W 3R2,aldergrove,bc,27109 fraser highway aldergrove bc v4w 3r2,Langley,5915001,59,49.05831,-122.4733
HÔPITALIER RICHELIEU,8087,general,Hospitals,Public Health Agency of Canada,,30,rue ferland,J3P 3C7,sorel-tracy,qc,"30, rue ferland sorel-tracy qc j3p 3c7",Sorel-Tracy,2453052,24,46.0455502,-73.0935195
Fraser Hope Lodge,809,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0X 1L4,hope,bc,,Hope,,59,,
HÔTEL-DIEU DE MONTMAGNY,8090,general,Hospitals,Public Health Agency of Canada,,350,boul taché ouest,G5V 3R8,montmagny,qc,"350, boul. taché ouest montmagny qc g5v 3r8",Montmagny,2418050,24,46.976367,-70.5970718
Covenant Health Edmonton General Continuing Care Centre,81,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T5K 0L4,edmonton,ab,,Edmonton,,48,,
Fraser Supported Community Living,810,,Nursing and residential care facilities,Province of British Columbia,,4723,206a st,V3A 6N7,langley city,bc,4723 206a st langley city bc v3a 6n7,Langley,5915002,59,49.0887548,-122.6516108
Fraser Valley Detox and Treatment Centre,811,,Nursing and residential care facilities,Province of British Columbia,,6705,satchell st,V4X 2E3,abbotsford,bc,6705 satchell st abbotsford bc v4x 2e3,Abbotsford,5909052,59,49.1239695,-122.4160247
Fraserside Residence,812,,Nursing and residential care facilities,Province of British Columbia,,7738,gilley ave,V5J 4Y2,burnaby,bc,7738 gilley ave burnaby bc v5j 4y2,Burnaby,5915025,59,49.2134802,-122.9715652
JEWISH ELDERCARE CENTRE,8129,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,5725,victoria ave,H3W 3H6,montréal,qc,5725 victoria ave. montréal qc h3w 3h6,Montréal,2466023,24,45.492871,-73.633826
Fraserview Intermediate Care Lodge,813,,Nursing and residential care facilities,Province of British Columbia,,9580,williams road,V7A 1H2,richmond,bc,9580 williams road richmond bc v7a 1h2,Richmond,5915015,59,49.1398092,-123.1174766
JEWISH REHABILITATION HOSPITAL,8131,rehabilitation,Hospitals,Public Health Agency of Canada,,3205,alton goldbloom pl,H7V 1R2,laval,qc,3205 alton goldbloom pl. laval qc h7v 1r2,Laval,2465005,24,45.548623,-73.737591
Frederick Road,814,,Nursing and residential care facilities,Province of British Columbia,,1075,frederick road,V7K 1H9,north vancouver,bc,1075 frederick road north vancouver bc v7k 1h9,North Vancouver,5915046,59,49.3416966,-123.0440175
LE CAMPUS DE LACHINE DU CUSM,8140,soins aux malades chroniques,Nursing and residential care facilities,Public Health Agency of Canada,,650,16e ave,H8S 3N5,lachine,qc,"650, 16e ave. lachine qc h8s 3n5",Montréal,2466023,24,45.440848,-73.6774557
Fruitvale House,815,,Nursing and residential care facilities,Province of British Columbia,,1889,columbia gardens rd,V0G 1L0,fruitvale,bc,1889 columbia gardens rd fruitvale bc v0g 1l0,Fruitvale,5905005,59,49.1122882,-117.5435526
Fsj Acl Four-Plex,816,,Nursing and residential care facilities,Province of British Columbia,,10519,102 ave,V1J 2E7,fort st john,bc,10519 102 ave fort st. john bc v1j 2e7,Fort St. John,5955034,59,56.248114,-120.85713
g.f. Strong Rehabilitation Centre,817,rehabilitation,Hospitals,Public Health Agency of Canada,,4255,laurel st,V5Z 2G9,vancouver,bc,4255 laurel st. vancouver bc v5z 2g9,Vancouver,5915022,59,49.246789,-123.125415
g.r. Baker Memorial Hospital,819,general,Hospitals,Public Health Agency of Canada,,543,front st,V2J 2K7,quesnel,bc,543 front st. quesnel bc v2j 2k7,Quesnel,5941013,59,52.9814079,-122.4995559
Garden Manor Rest Home,820,,Nursing and residential care facilities,Province of British Columbia,,63,nicola st w,V2C 1J5,kamloops,bc,63 nicola st w kamloops bc v2c 1j5,Kamloops,5933042,59,50.6729058,-120.3408427
Gate House Adult Care,821,,Nursing and residential care facilities,Province of British Columbia,,3380,cobble hill rd,V0R 1L0,cobble hill,bc,3380 cobble hill rd cobble hill bc v0r 1l0,Cowichan Valley C,5919049,59,48.681633,-123.60684
Gatehouse,823,,Nursing and residential care facilities,Province of British Columbia,,2847,gatehouse pl,V9N 8S1,courtenay,bc,2847 gatehouse pl courtenay bc v9n 8s1,Courtenay,5926010,59,49.7129894,-124.9862519
Gateway Crisis Stabilization Unit,824,psychiatric,Nursing and residential care facilities,Public Health Agency of Canada,,517,6 ave n,V2G 2G8,williams lake,bc,517 6th ave. n. williams lake bc v2g 2g8,Williams Lake,5941009,59,52.1383395,-122.1431155
Gateway House,825,,Nursing and residential care facilities,Province of British Columbia,,2356,rosstown rd,V9T 3R7,nanaimo,bc,2356 rosstown rd nanaimo bc v9t 3r7,Nanaimo,5921007,59,49.196739,-123.99909
MCGILL UNIVERSITY HEALTH CENTRE - MONTRÉAL CHEST INSTITUTE,8253,general,Hospitals,Public Health Agency of Canada,,3650,st urbain,H2X 2P4,montréal,qc,3650 st. urbain montréal qc h2x 2p4,Montréal,2466023,24,45.513014,-73.5752103
Gateway Lodge,826,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V2L 0B3,prince george,bc,,Prince George,,59,,
Gateway Lodge Complex Care,827,,Nursing and residential care facilities,Province of British Columbia,,1488,20 ave,V2L 0A5,prince george,bc,1488 20th ave prince george bc v2l 0a5,Prince George,5953023,59,53.905864,-122.7543
Gaumont Residence,828,,Nursing and residential care facilities,Province of British Columbia,,1070,north glen dr,V2B 5C1,kamloops,bc,1070 north glen dr kamloops bc v2b 5c1,Kamloops,5933042,59,50.7086212,-120.3829343
PAVILLON DUGUAY ENR,8282,psychiatrique,Nursing and residential care facilities,Public Health Agency of Canada,,3934,ch du souvenir,H7W 1A8,laval,qc,"3934, ch. du souvenir laval qc h7w 1a8",Laval,2465005,24,45.5485683,-73.7579746
Gemini House,829,,Nursing and residential care facilities,Province of British Columbia,,2244,pitt river rd,V3C 1R6,port coquitlam,bc,2244 pitt river rd port coquitlam bc v3c 1r6,Port Coquitlam,5915039,59,49.2542391,-122.7803914
George Derby Centre,830,,Nursing and residential care facilities,Province of British Columbia,,7550,cumberland st,V3N 3X5,burnaby,bc,7550 cumberland st burnaby bc v3n 3x5,Burnaby,5915025,59,49.233602,-122.916488
George Pearson Centre,831,rehabilitation,Nursing and residential care facilities,Public Health Agency of Canada,,700,west 57 ave,V6P 1S1,vancouver,bc,700 west 57th ave. vancouver bc v6p 1s1,Vancouver,5915022,59,49.21877,-123.121144
Georgia House,832,,Nursing and residential care facilities,Province of British Columbia,,4812,georgia st,V4K 2S9,delta,bc,4812 georgia st delta bc v4k 2s9,Delta,5915011,59,49.0905341,-123.0876367
Georgia Medical Clinic,833,,Ambulatory health care services,Province of British Columbia,,683,denman street,V6G 2L3,vancouver,bc,683 denman street vancouver bc v6g 2l3,Vancouver,5915022,59,49.292361,-123.134202
German Canadian Care Home,834,,Nursing and residential care facilities,Province of British Columbia,,2010,harrison dr,V5P 2P6,vancouver,bc,2010 harrison dr vancouver bc v5p 2p6,Vancouver,5915022,59,49.2098793,-123.0651145
Gibsons Medical Associates,835,,Ambulatory health care services,Province of British Columbia,,211-1100,sunshine coast highway,V0N 1V7,gibsons,bc,211-1100 sunshine coast highway gibsons bc v0n 1v7,Gibsons,5929005,59,49.409182,-123.5307
Gilley House,836,,Nursing and residential care facilities,Province of British Columbia,,8275,gilley ave,V5J 4Y8,burnaby,bc,8275 gilley ave burnaby bc v5j 4y8,Burnaby,5915025,59,49.2089907,-122.9733811
Gilley Residence,837,,Nursing and residential care facilities,Province of British Columbia,,1357,gilley cres,V2P 1X2,parksville,bc,1357 gilley cres parksville bc v2p 1x2,Nanaimo G,5921034,59,49.341872,-124.38007
Gillis House,838,,Nursing and residential care facilities,Province of British Columbia,,1699,tutill court,V1K 1C6,merritt,bc,1699 tutill court merritt bc v1k 1c6,Merritt,5933006,59,50.1075263,-120.7861348
Glacier View Lodge,839,,Nursing and residential care facilities,Province of British Columbia,,2450,back rd,V9N 9G8,courtenay,bc,2450 back rd courtenay bc v9n 9g8,Courtenay,5926010,59,49.690363,-124.96434
Covenant Health Mary Immaculate Care Centre,84,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T0B 3H0,mundare,ab,,Mundare,,48,,
Gladstone House ( l & t Services),840,,Nursing and residential care facilities,Province of British Columbia,,2182,e 30 ave,V5N 3A6,vancouver,bc,2182 e 30th ave vancouver bc v5n 3a6,Vancouver,5915022,59,49.2429944,-123.0635011
Gladstone Street Group Home,841,,Nursing and residential care facilities,Province of British Columbia,,5425,gladstone st,V5P 4S1,vancouver,bc,5425 gladstone st vancouver bc v5p 4s1,Vancouver,5915022,59,49.2356384,-123.0623051
Glengarry Hospital,842,extended care,Hospitals,Public Health Agency of Canada,,1780,fairfield rd,V8S 1G7,victoria,bc,1780 fairfield rd. victoria bc v8s 1g7,Victoria,5917034,59,48.4152829,-123.3318857
Glenmore Lodge,843,,Nursing and residential care facilities,Province of British Columbia,,325,drysdale blvd,V1V 1P5,kelowna,bc,325 drysdale blvd kelowna bc v1v 1p5,Kelowna,5935010,59,49.9163179,-119.4400778
RÉSIDENCE CHRIST-ROI,8431,soins prolongés,Nursing and residential care facilities,Public Health Agency of Canada,,300,blvd wilfrid-hamel,G1M 2R9,vanier,qc,"300, blvd. wilfrid-hamel vanier qc g1m 2r9",Québec,2423027,24,46.8109218,-71.2579152
Glenora Farm 1 (Big House),844,,Nursing and residential care facilities,Province of British Columbia,,4766,waters rd,V9L 6S9,duncan,bc,4766 waters rd duncan bc v9l 6s9,Cowichan Valley E,5919051,59,48.743009,-123.77905
Glenwood Seniors Community,847,,Nursing and residential care facilities,Province of British Columbia,,1458,glenwood dr,V0M 1A0,agassiz,bc,1458 glenwood dr agassiz bc v0m 1a0,Kent,5909032,59,49.2308549,-121.7581786
Glover Medical Centre,848,,Ambulatory health care services,Province of British Columbia,,101-5796,glover road,V3A 4H9,langley,bc,101-5796 glover road langley bc v3a 4h9,Langley,5915002,59,49.108106,-122.65072
Goldcity Walk-in Clinic,849,,Ambulatory health care services,Province of British Columbia,,458,reid street,V2J 2M6,quesnel,bc,458 reid street quesnel bc v2j 2m6,Quesnel,5941013,59,52.98001,-122.497053
SHRINERS HOSPITAL FOR CHILDREN,8492,pediatric,Hospitals,Public Health Agency of Canada,,1529,cedar ave,H3G 1A6,montréal,qc,1529 cedar ave. montréal qc h3g 1a6,Montréal,2466023,24,45.499581,-73.588351
Golden and District General Hospital,850,general,Hospitals,Public Health Agency of Canada,,835,9 ave s,V0A 1H0,golden,bc,835 - 9th ave. s. golden bc v0a 1h0,Golden,5939007,59,51.2964827,-116.9666022
Golden Avenue Residence,852,,Nursing and residential care facilities,Province of British Columbia,,4574,golden avenue,V8A 2X5,powell river,bc,4574 golden avenue powell river bc v8a 2x5,Powell River,5927008,59,49.8396688,-124.5216509
9th Avenue North Medical Clinic,8528,medical clinic,Ambulatory health care services,Saskatchewan Health Authorities,,2306,9 ave n,S4R 8C5,regina,sk,2306 9th ave. n. regina saskatchewan s4r 8c5,Regina,4706027,47,50.484705,-104.614231
Al Ritchie Heritage Community Health Centre,8529,health centre,Ambulatory health care services,Saskatchewan Health Authorities,,1550,14 avenue,S4P 0W6,regina,sk,1550 14th avenue regina sk s4p 0w6,Regina,4706027,47,50.444203,-104.603159
Golden Grove Care Facility,853,,Nursing and residential care facilities,Province of British Columbia,,130,strathcona way,V9H 0B1,campbell river,bc,130 strathcona way campbell river bc v9h 0b1,Campbell River,5924034,59,49.9486852,-125.206101
Albert and Parliament Primary Health Care Centre,8530,health centre,Ambulatory health care services,Saskatchewan Health Authorities,,3992,albert street,S4S 3R1,regina,sk,3992 albert street regina saskatchewan s4s 3r1,Regina,4706027,47,50.415871,-104.619286
Alcohol and Drug Services - Saul Cohen Centre,8531,,Ambulatory health care services,Saskatchewan Health Authorities,,200,heritage drive,S0A 2P0,melville,sk,"200 heritage drive melville, sk s0a 2p0",Melville,4705074,47,50.93824,-102.822121
All Nations' Healing Hospital,8532,general,Hospitals,Public Health Agency of Canada,,450,8 st,S0G 1S0,fort quappelle,sk,450 8th st. fort qu'appelle sk s0g 1s0,Treaty Four Reserve Grounds 77,4706829,47,50.7616887,-103.7870088
Arborfield & District Health Care Centre,8533,,Ambulatory health care services,Saskatchewan Health Authorities,,509,5 avenue,S0E 0A0,arborfield,sk,"509 5th avenue arborfield sk, s0e 0a0",Arborfield,,47,,
Arcola Health Centre,8534,general,Hospitals,Public Health Agency of Canada,,607,prairie ave,S0C 0G0,arcola,sk,607 prairie ave. arcola sk s0c 0g0,Arcola,4701059,47,49.6378176,-102.4846027
Assiniboia Union Hospital,8535,hospital,Hospitals,Saskatchewan Health Authorities,,501,6 avenue,S0H 0B0,assiniboia,sk,"501 6th avenue assiniboia, sk s0h 0b0",Assiniboia,4703036,47,49.628594,-105.983248
Autism Centre,8536,health centre,Ambulatory health care services,Saskatchewan Health Authorities,,2166,broad street,S4P 1Y5,regina,sk,2166 broad street regina saskatchewan s4p 1y5,Regina,4706027,47,50.444378,-104.606664
Avon Medical Clinic,8537,health centre,Ambulatory health care services,Saskatchewan Health Authorities,,2781,avonhurst dr,S4R 3J3,regina,sk,2781 avonhurst dr regina sk s4r 3j3,Regina,4706027,47,50.470404,-104.622257
Balcarres Integrated Care Centre,8538,general,Hospitals,Public Health Agency of Canada,,100,south elgin st,S0G 0C0,balcarres,sk,100 south elgin st. balcarres sk s0g 0c0,Abernethy No. 186,4706042,47,50.803208,-103.550837
Battlefords District Care Centre,8539,,Nursing and residential care facilities,Saskatchewan Health Authorities,,1308,winnipeg street,S0M 0E0,battleford,sk,"1308 winnipeg street, po box 69 battleford, battleford, sk s0m 0e0 battleford, sk. s0m 0e0",Battleford,4712079,47,52.720038,-108.28434
Battlefords Union Hospital,8542,hospital,Hospitals,Saskatchewan Health Authorities,,1092,107 street,S9A 1Z1,north battleford,sk,"1092 - 107 street north battleford, sk s9a 1z1",North Battleford,4716029,47,52.771802,-108.288771
Battlefords Union Hospital and Mental Health Centre — Battlefords Union Hospital,8544,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,S9A 1Z1,north battleford,sk,,North Battleford,,47,,
Beauval Clinic,8545,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,,lavoie st,S0M 0G0,beauval,sk,"lavoie st, beauval, sk s0m 0g0 beauval sk, s0m 0g0",Beauval,4718033,47,55.146799,-107.614342
Beechy Health Centre,8546,primary care clinic,Ambulatory health care services,Saskatchewan Health Authorities,,226,1 avenue n,S0L 0C0,beechy,sk,"226 1st avenue north beechy, sk s0l 0c0",Beechy,4707062,47,50.877411,-107.383777
Bengough Health Centre,8547,longterm,Nursing and residential care facilities,Saskatchewan Health Authorities,,400,2 Street W,S0C 0K0,bengough,sk,"400-2nd street w. bengough, sk s0c 0k0",Bengough No. 40,4702024,47,49.393536,-105.13444
Bethany Pioneer Village,8548,long term care,Nursing and residential care facilities,Saskatchewan Health Authorities,,,,S0K 2X0,middle lake,sk,"middle lake, sk s0k 2x0",Three Lakes No. 400,4715044,47,52.476943,-105.318248
Big River Health Centre,8549,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,220,1 ave n,S0J 0E0,big river,sk,"220 1st ave. north big river, sk s0j 0e0",Big River,4716072,47,53.8342818,-107.040604
Big River Primary Health Care Clinic,8550,,Ambulatory health care services,Saskatchewan Health Authorities,,,,S0J 0E0,big river,sk,"big river, sk",Big River,,47,,
Biggar and District Health Centre,8551,hospital,Hospitals,Saskatchewan Health Authorities,,501,1 avenue w,S0K 0M0,biggar,sk,"501 – 1st avenue west biggar, sk s0k 0m0",Biggar,4712046,47,52.05738,-107.996219
Biggar Diamond Lodge,8552,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,402,2 Avenue West,S0K 0M0,biggar,sk,,Biggar,,47,,
Biggar Hospital,8553,general,Hospitals,Public Health Agency of Canada,,501,1 ave w,S0K 0M0,biggar,sk,501 1st ave. w. biggar sk s0k 0m0,Biggar,4712046,47,52.0566752,-107.9968687
Birch Hills Health Facility (Birch Hills Primary Health Care Clinic),8554,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,3,wilson street,S0J 0G0,birch hills,sk,"3 wilson street birch hills, sk s0j 0g0",Birch Hills,4715068,47,52.9846372,-105.4389316
Birchview Nursing Home,8555,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,S0J 0G0,birch hills,sk,,Birch Hills,,47,,
Blaine Lake Primary Health Care Clinic,8556,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,307,main st s,S0J 0J0,blaine lake,sk,"307 main st. south blaine lake, sk s0j 0j0",Blaine Lake,4716016,47,52.8302425,-106.882716
Borden Primary Health Centre,8557,community health centre,Ambulatory health care services,Saskatchewan Health Authorities,,308,shepard street,S0K 0N0,borden,sk,"308 shepard street borden, sk s0k 0n0",Borden,4716011,47,52.406866,-107.24079
Border Health Centre,8558,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,301,1 street w,S0N 0N0,climax,sk,"301 1st street west climax, sk s0n 0n0",Climax,4704009,47,49.209032,-108.386761
Border-Line Housing Company,8559,nursing home,Nursing and residential care facilities,Saskatchewan Health Authorities,,,,S0C 0S0,carnduff,sk,"carnduff, sk s0c 0s0",Carnduff,4701008,47,49.177734,-101.79285
Golden Life Management — Joseph Creek Village,856,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V1C 1A4,cranbrook,bc,,Cranbrook,,59,,
Broad Street Medical Clinic,8560,medical clinic,Ambulatory health care services,Saskatchewan Health Authorities,,2210,broad street,S4P 4V6,regina,sk,2210 broad street regina saskatchewan s4p 4v6,Regina,4706027,47,50.443324,-104.607271
Broadview Centennial Lodge,8561,long term care,Nursing and residential care facilities,Saskatchewan Health Authorities,,310,calgary street,S0G 0K0,broadview,sk,310 calgary street broadview sk s0g 0k0,Broadview,4705031,47,50.376551,-102.573208
Broadview Hospital,8562,hospital,Hospitals,Saskatchewan Health Authorities,,901,nina street,S0G 0K0,broadview,sk,901 nina street broadview sk s0g 0k0,Broadview,4705031,47,50.373996,-102.584409
Broadview Medical Clinic,8563,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,901,nina street,S0G 0K0,broadview,sk,901 nina street broadview sk s0g 0k0,Broadview,4705031,47,50.373996,-102.584409
Buffalo Narrows Clinic,8565,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,310,davey st,S0M 0J0,buffalo narrows,sk,"310 davey st, buffalo narrows, sk s0m 0j0",Buffalo Narrows,4718070,47,55.861272,-108.480389
Cabri Medical Clinic (Primary Health Care Clinic),8566,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,519,1 street n,S0N 0J0,cabri,sk,"519 1st street north cabri, sk s0n 0j0",Cabri,4708032,47,50.616969,-108.467041
Candle Lake Health Clinic,8567,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,,highway 265,S0J 3E0,candle lake,sk,"highway 265 candle lake, sk s0j 3e0",Candle Lake,4715070,47,53.735768,-105.262795
Canora Gateway Lodge,8568,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,212,central ave east,S0A 0L0,canora,sk,,Canora,,47,,
Canora Hospital,8569,,Hospitals,Saskatchewan Health Authorities,,1219,main street,S0A 0L0,canora,sk,"1219 main street canora, sk s0a 0l0",Canora,4709032,47,51.626261,-102.439565
Carlyle Community Health,8570,medical centre,Ambulatory health care services,Saskatchewan Health Authorities,,206,railway avenue e,S0C 0R0,carlyle,sk,"206 railway avenue e. carlyle, sk s0c 0r0",Carlyle,4701056,47,49.634748,-102.264735
Carlyle Primary Health Care Team - Carlyle Medical Clinic,8571,"primary care, clinic",Ambulatory health care services,Saskatchewan Health Authorities,,214,main street,S0C 0R0,carlyle,sk,"214 main street carlyle, sk s0c 0r0",Carlyle,4701056,47,49.63305,-102.267985
Carrot River Health Centre,8572,community health centre,Hospitals,Saskatchewan Health Authorities,,4101,1 avenue w,S0E 0L0,carrot river,sk,"4101 – 1st avenue west carrot river, sk s0e 0l0",Carrot River,4714069,47,53.282556,-103.591844
Centennial Special Care Home,8573,,Nursing and residential care facilities,Saskatchewan Health Authorities,,407,second street s,S0A 2A0,langenburg,sk,"407 second street south langenburg, sk s0a 2a0",Langenburg,4705048,47,50.840139,-101.705453
Centennial Special Care Home - Esterhazy,8574,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,300,James St,S0A 0X0,esterhazy,sk,,Esterhazy,,47,,
Central Butte Regency Hospital,8576,hospital,Hospitals,Saskatchewan Health Authorities,,601,canada street,S0H 0T0,central butte,sk,"601 canada street central butte, sk s0h 0t0",Central Butte,4707054,47,50.799886,-106.50876
Central Haven Special Care Home,8577,specal care,Nursing and residential care facilities,Saskatchewan Health Authorities,,1020,avenue i n,S7L 2H7,saskatoon,sk,"1020 avenue i north saskatoon, sk s7l 2h7",Saskatoon,4711066,47,52.141159,-106.682821
